"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","extract_protocol_ch1.2","extract_protocol_ch1.3","taxid_ch1","description","description.1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","antibodies:ch1","cell lineage:ch1","cell type:ch1","tissue:ch1"
"GSM3188504","NK.1","GSM3188504","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","NK Cell","Homo sapiens","cell type: NK Cell","cell lineage: NK Cell Lineage","antibodies: CD3:- CD56:+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405256","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203015","NONE","CD3:- CD56:+","NK Cell Lineage","NK Cell","Peripheral Blood"
"GSM3188505","myDC.1","GSM3188505","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Myeloid DC","Homo sapiens","cell type: Myeloid DC","cell lineage: Dendritic Cell Lineage","antibodies: CD3:- CD14:- BDCA2:- BDCA1:+ CD123:-","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405254","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203016","NONE","CD3:- CD14:- BDCA2:- BDCA1:+ CD123:-","Dendritic Cell Lineage","Myeloid DC","Peripheral Blood"
"GSM3188506","pDC.1","GSM3188506","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Plasmacytoid DC","Homo sapiens","cell type: Plasmacytoid DC","cell lineage: Dendritic Cell Lineage","antibodies: CD14:- BDCA1:- BDCA2:+ CD123:Hi","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405253","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203017","NONE","CD14:- BDCA1:- BDCA2:+ CD123:Hi","Dendritic Cell Lineage","Plasmacytoid DC","Peripheral Blood"
"GSM3188507","MonoNonClassical.2","GSM3188507","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Non-classical monocyte","Homo sapiens","cell type: Non-classical monocyte","cell lineage: Macrophage Lineage","antibodies: CD14:Int BDCA1:- BDCA2:- CD123:Int","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405252","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203018","NONE","CD14:Int BDCA1:- BDCA2:- CD123:Int","Macrophage Lineage","Non-classical monocyte","Peripheral Blood"
"GSM3188508","CD4T.2","GSM3188508","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD4:+ T Cell","Homo sapiens","cell type: CD4:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD4+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405251","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203019","NONE","CD3:+ CD19:- CD56:- CD4+","T Cell Lineage","CD4:+ T Cell","Peripheral Blood"
"GSM3188509","CD8T.2","GSM3188509","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD8:+ T Cell","Homo sapiens","cell type: CD8:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD8+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405250","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203020","NONE","CD3:+ CD19:- CD56:- CD8+","T Cell Lineage","CD8:+ T Cell","Peripheral Blood"
"GSM3188510","Eo.2","GSM3188510","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Eosinophil","Homo sapiens","cell type: Eosinophil","cell lineage: Eosinophil Lineage","antibodies: Miltenyi Biotec Eosinophil Isolation Kit Negative","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405248","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203021","NONE","Miltenyi Biotec Eosinophil Isolation Kit Negative","Eosinophil Lineage","Eosinophil","Peripheral Blood"
"GSM3188511","MemB.2","GSM3188511","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Memory B Cell","Homo sapiens","cell type: Memory B Cell","cell lineage: B Cell Lineage","antibodies: CD3:- CD19:+ CD27:Int","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405247","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203022","NONE","CD3:- CD19:+ CD27:Int","B Cell Lineage","Memory B Cell","Peripheral Blood"
"GSM3188512","Mono.2","GSM3188512","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Monocyte","Homo sapiens","cell type: Monocyte","cell lineage: Macrophage Lineage","antibodies: CD14:Hi BDCA1:- BDCA2:- CD123:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405246","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203023","NONE","CD14:Hi BDCA1:- BDCA2:- CD123:Lo","Macrophage Lineage","Monocyte","Peripheral Blood"
"GSM3188513","NveB.2","GSM3188513","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Naive B Cell","Homo sapiens","cell type: Naive B Cell","cell lineage: B Cell Lineage","antibodies: CD3:- CD19:+ CD27:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405244","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203024","NONE","CD3:- CD19:+ CD27:Lo","B Cell Lineage","Naive B Cell","Peripheral Blood"
"GSM3188514","NK.2","GSM3188514","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","NK Cell","Homo sapiens","cell type: NK Cell","cell lineage: NK Cell Lineage","antibodies: CD3:- CD56:+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405243","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203025","NONE","CD3:- CD56:+","NK Cell Lineage","NK Cell","Peripheral Blood"
"GSM3188515","myDC.2","GSM3188515","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Myeloid DC","Homo sapiens","cell type: Myeloid DC","cell lineage: Dendritic Cell Lineage","antibodies: CD3:- CD14:- BDCA2:- BDCA1:+ CD123:-","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405242","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203026","NONE","CD3:- CD14:- BDCA2:- BDCA1:+ CD123:-","Dendritic Cell Lineage","Myeloid DC","Peripheral Blood"
"GSM3188516","CD4T.3","GSM3188516","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD4:+ T Cell","Homo sapiens","cell type: CD4:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD4+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405241","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203027","NONE","CD3:+ CD19:- CD56:- CD4+","T Cell Lineage","CD4:+ T Cell","Peripheral Blood"
"GSM3188517","CD8T.3","GSM3188517","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD8:+ T Cell","Homo sapiens","cell type: CD8:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD8+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405239","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203028","NONE","CD3:+ CD19:- CD56:- CD8+","T Cell Lineage","CD8:+ T Cell","Peripheral Blood"
"GSM3188518","MemB.3","GSM3188518","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Memory B Cell","Homo sapiens","cell type: Memory B Cell","cell lineage: B Cell Lineage","antibodies: CD3:- CD19:+ CD27:Int","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405238","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203029","NONE","CD3:- CD19:+ CD27:Int","B Cell Lineage","Memory B Cell","Peripheral Blood"
"GSM3188519","Mono.3","GSM3188519","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Monocyte","Homo sapiens","cell type: Monocyte","cell lineage: Macrophage Lineage","antibodies: CD14:Hi BDCA1:- BDCA2:- CD123:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405237","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203030","NONE","CD14:Hi BDCA1:- BDCA2:- CD123:Lo","Macrophage Lineage","Monocyte","Peripheral Blood"
"GSM3188520","NK.3","GSM3188520","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","NK Cell","Homo sapiens","cell type: NK Cell","cell lineage: NK Cell Lineage","antibodies: CD3:- CD56:+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405290","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203031","NONE","CD3:- CD56:+","NK Cell Lineage","NK Cell","Peripheral Blood"
"GSM3188521","NveB.3","GSM3188521","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Naive B Cell","Homo sapiens","cell type: Naive B Cell","cell lineage: B Cell Lineage","antibodies: CD3:- CD19:+ CD27:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405289","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203032","NONE","CD3:- CD19:+ CD27:Lo","B Cell Lineage","Naive B Cell","Peripheral Blood"
"GSM3188522","Neut.2","GSM3188522","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Neutrophil","Homo sapiens","cell type: Neutrophil","cell lineage: Neutrophil Lineage","antibodies: Miltenyi Biotec Eosinophil Isolation Kit Positive","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405288","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203033","NONE","Miltenyi Biotec Eosinophil Isolation Kit Positive","Neutrophil Lineage","Neutrophil","Peripheral Blood"
