"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","description.1","description.2","data_processing","data_processing.1","data_processing.2","data_processing.3","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell type:ch1","disease status:ch1","gender:ch1"
"GSM2859441","925L_CD8_EM_rep2","GSM2859441","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Effector memory CD8 T cells","Homo sapiens","cell type: Effector memory CD8 T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 400000","total_rna_yield (ng): 159.144","925L_CD8_EM","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035231","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399216","NONE","Effector memory CD8 T cells","healthy","M"
"GSM2859442","925L_CD8_TE_rep2","GSM2859442","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Terminal effector CD8 T cells","Homo sapiens","cell type: Terminal effector CD8 T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 400000","total_rna_yield (ng): 138.384","925L_CD8_TE","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035230","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399217","NONE","Terminal effector CD8 T cells","healthy","M"
"GSM2859443","925L_MAIT_rep2","GSM2859443","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","MAIT cells","Homo sapiens","cell type: MAIT cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 387411","total_rna_yield (ng): 298.884","925L_MAIT","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035229","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399218","NONE","MAIT cells","healthy","M"
"GSM2859444","925L_VD2+_rep2","GSM2859444","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Vd2 gd T cells","Homo sapiens","cell type: Vd2 gd T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 400000","total_rna_yield (ng): 331.068","925L_VD2+","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035208","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399219","NONE","Vd2 gd T cells","healthy","M"
"GSM2859445","925L_VD2-_rep2","GSM2859445","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Non-Vd2 gd T cells","Homo sapiens","cell type: Non-Vd2 gd T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 295074","total_rna_yield (ng): 122.46","925L_VD2-","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035207","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399220","NONE","Non-Vd2 gd T cells","healthy","M"
"GSM2859446","925L_TFH_rep2","GSM2859446","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Follicular helper T cells","Homo sapiens","cell type: Follicular helper T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 400000","total_rna_yield (ng): 161.46","925L_TFH","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035206","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399221","NONE","Follicular helper T cells","healthy","M"
"GSM2859447","925L_Treg_rep2","GSM2859447","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","T regulatory cells","Homo sapiens","cell type: T regulatory cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 312007","total_rna_yield (ng): 93.456","925L_Treg","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035205","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399222","NONE","T regulatory cells","healthy","M"
"GSM2859448","925L_Th1_rep2","GSM2859448","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Th1 cells","Homo sapiens","cell type: Th1 cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 444395","total_rna_yield (ng): 214.788","925L_Th1","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035204","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399223","NONE","Th1 cells","healthy","M"
"GSM2859449","925L_Th1/Th17_rep2","GSM2859449","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Th1/Th17 cells","Homo sapiens","cell type: Th1/Th17 cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 387451","total_rna_yield (ng): 203.832","925L_Th1/Th17","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035203","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399224","NONE","Th1/Th17 cells","healthy","M"
"GSM2859450","925L_Th17_rep2","GSM2859450","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Th17 cells","Homo sapiens","cell type: Th17 cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 290254","total_rna_yield (ng): 165.576","925L_Th17","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035202","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399225","NONE","Th17 cells","healthy","M"
"GSM2859451","925L_Th2_rep2","GSM2859451","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Th2 cells","Homo sapiens","cell type: Th2 cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 400198","total_rna_yield (ng): 255.192","925L_Th2","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035201","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399226","NONE","Th2 cells","healthy","M"
"GSM2859452","925L_CD4_naive_rep2","GSM2859452","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Naive CD4 T cells","Homo sapiens","cell type: Naive CD4 T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 370000","total_rna_yield (ng): 118.992","925L_CD4_naive","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035200","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399227","NONE","Naive CD4 T cells","healthy","M"
"GSM2859453","925L_CD4_TE_rep2","GSM2859453","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Terminal effector CD4 T cells","Homo sapiens","cell type: Terminal effector CD4 T cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 183582","total_rna_yield (ng): 31.836","925L_CD4_TE","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035199","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399228","NONE","Terminal effector CD4 T cells","healthy","M"
"GSM2859454","925L_Progenitor_rep2","GSM2859454","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Progenitor cells","Homo sapiens","cell type: Progenitor cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 19215","total_rna_yield (ng): 4.656","925L_Progenitor","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035198","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399229","NONE","Progenitor cells","healthy","M"
"GSM2859455","925L_B_naive_rep2","GSM2859455","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Naive B cells","Homo sapiens","cell type: Naive B cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 2250000","total_rna_yield (ng): 784.5","925L_B_naive","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035197","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399230","NONE","Naive B cells","healthy","M"
"GSM2859456","925L_B_NSM_rep2","GSM2859456","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Non-switched memory B cells","Homo sapiens","cell type: Non-switched memory B cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 399587","total_rna_yield (ng): 123.852","925L_B_NSM","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035196","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399231","NONE","Non-switched memory B cells","healthy","M"
"GSM2859457","925L_B_Ex_rep2","GSM2859457","Public on Feb 06 2019","Nov 16 2017","May 15 2019","SRA","1","Exhausted B cells","Homo sapiens","cell type: Exhausted B cells","disease status: healthy","gender: M","polyA RNA","RNA was extracted with TRIzol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser. The RNA concentration was determined using the Quant-iTTM RiboGreen® RNA Assay Kit","The cDNA libraries were prepared from 2 ng of total RNA and 1 μl of a 1:50,000 dilution of external RNA control consortium (ERCC) spike-in control mix (Thermo Fisher Scientific) using SMARTSeq v2 protocol (Picelli et al., 2014) with the following modifications: 1) use of 20µM template-switching oligos (TSO), 2) use of 250 pg of cDNA with 1/5 reaction mixtures of Illumina Nextera XT kit.","9606","cell_number (facs): 52906","total_rna_yield (ng): 7.752","925L_B_Ex","Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to the transcriptome with kallisto","Transcirpt per million (TPM) values of all trancripts were obtained with kallisto. Expression counts at gene level were obtained by summarizing transcript expression values.","Genome_build: GENCODE 26","Supplementary_files_format_and_content: tab-delimited text files include TPM values for each sample","GPL11154","Gianni,,Monaco","mongianni1@gmail.com","University of Liverpool","6 West Derby Street","Liverpool","L78TX","United Kingdom","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08035195","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3399232","NONE","Exhausted B cells","healthy","M"
